City,Coordinates
Abington,"(42.1048228, -70.9453218)"
Acton,"(42.4850931, -71.43284)"
Amherst,"(42.3731948, -72.5198761)"
Andover,"(42.65717, -71.1408776)"
Aquinnah,"(41.3431478, -70.8136792)"
Arlington,"(42.4153739, -71.1564428)"
Ashby,"(42.6776715, -71.8198282)"
Attleboro,"(41.9439695, -71.2804301)"
Barnstable,"(41.7016936, -70.3036163)"
Barre,"(42.4228006, -72.1051592)"
Bedford,"(42.4917301, -71.2817947)"
Bellingham,"(42.0869493, -71.4746436)"
Berlin,"(42.3813665, -71.6372642)"
Beverly,"(42.5489744, -70.8781883)"
Billerica,"(42.5584264, -71.268947)"
Boston,"(42.3554334, -71.060511)"
Bourne,"(41.7412166, -70.5989196)"
Braintree,"(42.2205956, -71.0041229)"
Brimfield,"(42.1224026, -72.2003109)"
Brockton,"(42.0834335, -71.0183787)"
Brookline,"(42.3329021, -71.1187421)"
Buckland,"(42.5922517, -72.7912988)"
Burlington,"(42.5048167, -71.1956111)"
Cambridge,"(42.3656347, -71.1040018)"
Canton,"(42.1584324, -71.1447732)"
Carver,"(41.8834363, -70.7625376)"
Charlton,"(42.1340806, -71.9698085)"
Chatham,"(41.6820563, -69.9597376)"
Chelmsford,"(42.5968617, -71.3517602)"
Chelsea,"(42.3912241, -71.0369301)"
Chicopee,"(42.1487691, -72.6071119)"
Clinton,"(42.4212463, -71.6874099)"
Concord,"(42.4605189, -71.3488963)"
Cummington,"(42.4628175, -72.8964631)"
Dalton,"(42.4741707, -73.1599696)"
Danvers,"(42.566751, -70.9368313)"
Dartmouth,"(41.6332267, -70.9879928)"
Dedham,"(42.2489143, -71.1755732)"
Deerfield,"(42.5442595, -72.6044771)"
Essex,"(42.6320389, -70.7828255)"
Everett,"(42.40843, -71.0536625)"
Fall River,"(41.7010642, -71.1546367)"
Falmouth,"(41.5514979, -70.6147519)"
Fitchburg,"(42.5854371, -71.8046023)"
Framingham,"(42.2773177, -71.4165905)"
Franklin,"(42.5896205, -72.6110645)"
Gardner,"(42.5763523, -71.9952737)"
Gloucester,"(42.6153595, -70.6624608)"
Gosnold,"(41.4211401, -70.9287901)"
Great Barrington,"(42.1939364, -73.362773)"
Greenfield,"(42.5876342, -72.6002068)"
Groton,"(42.6112242, -71.5745402)"
Groveland,"(42.7598804, -71.0318212)"
Hadley,"(42.3424147, -72.5892108)"
Hancock,"(42.5431855, -73.318461)"
Harvard,"(42.365743249999994, -71.12221394207614)"
Harwich,"(41.6862224, -70.0758508)"
Haverhill,"(42.7777829, -71.0767724)"
Hingham,"(42.2417669, -70.8897676)"
Hinsdale,"(42.4388574, -73.1251513)"
Holliston,"(42.2000966, -71.4245049)"
Holyoke,"(42.2071184, -72.6075851)"
Hopkinton,"(42.2288875, -71.5196439)"
Hudson,"(42.3913503, -71.5676895)"
Huntington,"(42.2343933, -72.8799009)"
Ipswich,"(42.679273, -70.8411583)"
Lawrence,"(42.7070354, -71.1631137)"
Lee,"(42.3073477, -73.2504911)"
Leicester,"(42.2459002, -71.9081505)"
Leominster,"(42.5267443, -71.7614891)"
Littleton,"(42.5375917, -71.5120096)"
Lowell,"(42.6414437, -71.3085329)"
Ludlow,"(42.1589979, -72.4803259)"
Lunenburg,"(42.595089, -71.7244812)"
Lynn,"(42.466763, -70.9494939)"
Malden,"(42.4268484, -71.0683741)"
Mansfield,"(42.0334326, -71.2189405)"
Marblehead,"(42.500096, -70.8578253)"
Marion,"(41.7001043, -70.7628129)"
Marlborough,"(42.3459271, -71.5522874)"
Marshfield,"(42.091769, -70.7055941)"
Mashpee,"(41.6484421, -70.4811383)"
Medford,"(42.4184296, -71.1061639)"
Melrose,"(42.4564323, -71.064182)"
Methuen,"(42.7262016, -71.1908924)"
Middleborough,"(41.8931576, -70.9111517)"
Millbury,"(42.1913817, -71.7603934)"
Milton,"(42.2501425, -71.065573)"
Montague,"(42.5356426, -72.535088)"
Nantucket,"(41.2727997, -70.0951867)"
Natick,"(42.2836393, -71.346996)"
New Bedford,"(41.6362152, -70.934205)"
Newburyport,"(42.8132845, -70.8819188)"
Newton,"(42.3370414, -71.2092214)"
North Adams,"(42.6990349, -73.1118997)"
Northampton,"(42.3178989, -72.6311006)"
Norwell,"(42.1617681, -70.7939307)"
Norwood,"(42.194543, -71.1994976)"
Orange,"(42.5908656, -72.3097766)"
Oxford,"(42.1170157, -71.8644387)"
Peabody,"(42.5278731, -70.9286609)"
Pembroke,"(42.0714907, -70.8092074)"
Pittsfield,"(42.4484778, -73.2541069)"
Plymouth,"(41.9426657, -70.7618592)"
Provincetown,"(42.0525612, -70.1858639)"
Quincy,"(42.2509914, -71.0037374)"
Raynham,"(41.9487118, -71.0731008)"
Rehoboth,"(41.8403786, -71.2494938)"
Revere,"(42.4084302, -71.0119948)"
Rockport,"(42.6556507, -70.6203216)"
Royalston,"(42.6762092, -72.187871)"
Russell,"(42.1897852, -72.8559114)"
Salem,"(42.5195292, -70.8967226)"
Salisbury,"(42.8417577, -70.8606083)"
Saugus,"(42.4648183, -71.010051)"
Scituate,"(42.1924492, -70.7261966)"
Sheffield,"(42.110474, -73.3533365)"
Shrewsbury,"(42.2960187, -71.71351)"
Somerville,"(42.3875968, -71.0994968)"
Southbridge,"(42.075191, -72.0331938)"
Spencer,"(42.2436316, -71.9934879)"
Springfield,"(42.1018764, -72.5886727)"
Stockbridge,"(42.282398, -73.3123684)"
Sturbridge,"(42.1082005, -72.0810584)"
Swansea,"(41.7481575, -71.1897684)"
Taunton,"(41.9019257, -71.0931485)"
Templeton,"(42.5557546, -72.0677077)"
Tisbury,"(41.4576223, -70.6156969)"
Truro,"(41.993437, -70.0497457)"
Uxbridge,"(42.0768175, -71.6298483)"
Wakefield,"(42.506484, -71.0728306)"
Waltham,"(42.3756401, -71.2358004)"
Ware,"(42.2599297, -72.2397806)"
Wareham,"(41.7626037, -70.7217017)"
Watertown,"(42.3652518, -71.1843236)"
Wendell,"(42.5485223, -72.3971709)"
West Bridgewater,"(42.0191056, -71.0076743)"
West Springfield,"(42.105237, -72.6213712)"
Westfield,"(42.1205411, -72.7489158)"
Westford,"(42.5792583, -71.4378411)"
Weston,"(42.3667625, -71.3031132)"
Westport,"(41.6220399, -71.0780195)"
Weymouth,"(42.2212188, -70.9391625)"
Williamsburg,"(42.3926274, -72.7302473)"
Williamstown,"(42.7135472, -73.2094566)"
Woburn,"(42.4792618, -71.1522766)"
Worcester,"(42.2625621, -71.8018877)"
Worthington,"(42.3959993, -72.9358345)"
Yarmouth,"(41.7056656, -70.2286314)"
